t,x,conv,f,g
-5.000000000000011,-5.000000000000011,9.3413342152824e-06,2.7775887729925082e-11,1.3887943864962541e-11
-4.900000000000011,-4.900000000000011,1.532444233344762e-05,7.475142655887716e-11,3.737571327943858e-11
-4.800000000000011,-4.800000000000011,2.4889576268200874e-05,1.971901115198086e-10,9.85950557599043e-11
-4.700000000000012,-4.700000000000012,4.002279201950245e-05,5.098763760783377e-10,2.5493818803916883e-10
-4.600000000000012,-4.600000000000012,6.371685279239966e-05,1.2922863546210792e-09,6.461431773105396e-10
-4.500000000000012,-4.500000000000012,0.00010042880744863818,3.210456110370858e-09,1.605228055185429e-09
-4.400000000000013,-4.400000000000013,0.00015671816942749493,7.81787686852884e-09,3.90893843426442e-09
-4.300000000000013,-4.300000000000013,0.000242123782412232,1.866057514900789e-08,9.330287574503945e-09
-4.2000000000000135,-4.2000000000000135,0.00037035021775762403,4.365915590250459e-08,2.1829577951252296e-08
-4.100000000000014,-4.100000000000014,0.0005608475328698302,1.001243604153296e-07,5.00621802076648e-08
-4.000000000000014,-4.000000000000014,0.0008408801081824063,2.2507034943849264e-07,1.1253517471924632e-07
-3.9000000000000146,-3.9000000000000146,0.0012481891390458322,4.9591920360895e-07,2.47959601804475e-07
-3.800000000000015,-3.800000000000015,0.001834356634609048,1.0710695605585e-06,5.3553478027925e-07
-3.7000000000000153,-3.7000000000000153,0.002668973154704103,2.2674542774956747e-06,1.1337271387478374e-06
-3.6000000000000156,-3.6000000000000156,0.0038446932167254724,4.705150400019015e-06,2.3525752000095075e-06
-3.500000000000016,-3.500000000000016,0.005483227087341109,9.570234784256947e-06,4.7851173921284734e-06
-3.4000000000000163,-3.4000000000000163,0.007742261374574313,1.9080325746156357e-05,9.540162873078179e-06
-3.3000000000000167,-3.3000000000000167,0.01082321984846545,3.7287484663029535e-05,1.8643742331514768e-05
-3.200000000000017,-3.200000000000017,0.014979667958463328,7.142569928326268e-05,3.571284964163134e-05
-3.1000000000000174,-3.1000000000000174,0.020526029495128533,0.0001341096486056077,6.705482430280386e-05
-3.0000000000000178,-3.0000000000000178,0.02784612482553451,0.0002468196081733328,0.0001234098040866664
-2.900000000000018,-2.900000000000018,0.037400864240443824,0.0004452597138377313,0.00022262985691886566
-2.8000000000000185,-2.8000000000000185,0.04973424908586852,0.0007873380813100747,0.00039366904065503736
-2.700000000000019,-2.700000000000019,0.06547666451305294,0.001364656105512615,0.0006823280527563075
-2.600000000000019,-2.600000000000019,0.08534431271696157,0.0023184583478089503,0.0011592291739044751
-2.5000000000000195,-2.5000000000000195,0.11013356012101312,0.0038609082724550413,0.0019304541362275207
-2.40000000000002,-2.40000000000002,0.14070898370973828,0.006302223196888278,0.003151111598444139
-2.3000000000000203,-2.3000000000000203,0.1779840273339418,0.010083520519381018,0.005041760259690509
-2.2000000000000206,-2.2000000000000206,0.2228934405496093,0.01581410810318545,0.007907054051592725
-2.100000000000021,-2.100000000000021,0.27635708402113107,0.024310356659827732,0.012155178329913866
-2.0000000000000213,-2.0000000000000213,0.3392352475160737,0.036631277777465235,0.018315638888732617
-1.9000000000000217,-1.9000000000000217,0.4122763233108482,0.05410369373269636,0.02705184686634818
-1.800000000000022,-1.800000000000022,0.49605847463566094,0.07832779019796794,0.03916389509898397
-1.7000000000000224,-1.7000000000000224,0.5909277811282294,0.11115242522295768,0.05557621261147884
-1.6000000000000227,-1.6000000000000227,0.6969361587180257,0.1546094808865882,0.0773047404432941
-1.500000000000023,-1.500000000000023,0.8137830541091292,0.21079844912371407,0.10539922456185703
-1.4000000000000234,-1.4000000000000234,0.9407654121637176,0.28171684184207146,0.14085842092103573
-1.3000000000000238,-1.3000000000000238,1.0767406196668023,0.3690390479859557,0.18451952399297786
-1.2000000000000242,-1.2000000000000242,1.2201069675296559,0.47385551736421605,0.23692775868210803
-1.1000000000000245,-1.1000000000000245,1.3688055978679705,0.5963945588597426,0.2981972794298713
-1.0000000000000249,-1.0000000000000249,1.520346901066243,0.735758882342848,0.367879441171424
-0.9000000000000252,-0.9000000000000252,1.6718629326210273,0.8897161324458419,0.44485806622292096
-0.8000000000000256,-0.8000000000000256,1.820185707924951,1.0545848480860538,0.5272924240430269
-0.7000000000000259,-0.7000000000000259,1.9619493262390322,1.2252527883687876,0.6126263941843938
-0.6000000000000263,-0.6000000000000263,2.0937119288804746,1.395352652142018,0.697676326071009
-0.5000000000000266,-0.5000000000000266,2.2120916882927966,1.5576015661427682,0.7788007830713841
-0.400000000000027,-0.400000000000027,2.313909534626781,1.7042875779323858,0.8521437889661929
-0.30000000000002736,-0.30000000000002736,2.3963303184388653,1.8278623705424264,0.9139311852712132
-0.2000000000000277,-0.2000000000000277,2.4569937092664937,1.921578878304625,0.9607894391523125
-0.10000000000002807,-0.10000000000002807,2.4941264139550605,1.980099667498325,0.9900498337491624
-2.842170943040401e-14,-2.842170943040401e-14,2.5066282746310002,2.0,1.0
0.09999999999997122,0.09999999999997122,2.4941264139550747,1.9800996674983475,0.9900498337491738
0.19999999999997087,0.19999999999997087,2.456993709266522,1.9215788783046688,0.9607894391523344
0.2999999999999705,0.2999999999999705,2.396330318438906,1.8278623705424888,0.9139311852712444
0.39999999999997016,0.39999999999997016,2.313909534626833,1.7042875779324633,0.8521437889662317
0.4999999999999698,0.4999999999999698,2.2120916882928596,1.5576015661428568,0.7788007830714284
0.5999999999999694,0.5999999999999694,2.093711928880546,1.3953526521421133,0.6976763260710567
0.6999999999999691,0.6999999999999691,1.9619493262391103,1.225252788368885,0.6126263941844425
0.7999999999999687,0.7999999999999687,1.8201857079250336,1.05458484808615,0.527292424043075
0.8999999999999684,0.8999999999999684,1.6718629326211123,0.889716132445933,0.4448580662229665
0.999999999999968,0.999999999999968,1.5203469010663293,0.7357588823429317,0.36787944117146587
1.0999999999999677,1.0999999999999677,1.3688055978680562,0.5963945588598172,0.2981972794299086
1.1999999999999673,1.1999999999999673,1.2201069675297387,0.47385551736428067,0.23692775868214033
1.299999999999967,1.299999999999967,1.0767406196668818,0.3690390479860103,0.18451952399300514
1.3999999999999666,1.3999999999999666,0.9407654121637924,0.2817168418421163,0.14085842092105816
1.4999999999999662,1.4999999999999662,0.8137830541091987,0.21079844912375,0.105399224561875
1.599999999999966,1.599999999999966,0.6969361587180891,0.15460948088661638,0.07730474044330819
1.6999999999999655,1.6999999999999655,0.5909277811282866,0.11115242522297915,0.055576212611489574
1.7999999999999652,1.7999999999999652,0.4960584746357117,0.07832779019798397,0.039163895098991985
1.8999999999999648,1.8999999999999648,0.4122763233108927,0.05410369373270806,0.02705184686635403
1.9999999999999645,1.9999999999999645,0.3392352475161123,0.03663127777747357,0.018315638888736784
2.099999999999964,2.099999999999964,0.27635708402116405,0.02431035665983354,0.01215517832991677
2.1999999999999638,2.1999999999999638,0.22289344054963722,0.0158141081031894,0.0079070540515947
2.2999999999999634,2.2999999999999634,0.1779840273339651,0.01008352051938366,0.00504176025969183
2.399999999999963,2.399999999999963,0.14070898370975748,0.0063022231968899965,0.0031511115984449983
2.4999999999999627,2.4999999999999627,0.11013356012102878,0.0038609082724561385,0.0019304541362280693
2.5999999999999623,2.5999999999999623,0.08534431271697418,0.002318458347809636,0.001159229173904818
2.699999999999962,2.699999999999962,0.06547666451306297,0.001364656105513033,0.0006823280527565166
2.7999999999999616,2.7999999999999616,0.049734249085876446,0.0007873380813103257,0.00039366904065516286
2.8999999999999613,2.8999999999999613,0.03740086424044999,0.0004452597138378784,0.0002226298569189392
2.999999999999961,2.999999999999961,0.027846124825539255,0.00024681960817341696,0.00012340980408670848
3.0999999999999606,3.0999999999999606,0.02052602949513215,0.0001341096486056549,6.705482430282745e-05
3.19999999999996,3.19999999999996,0.014979667958466048,7.142569928328856e-05,3.571284964164428e-05
3.29999999999996,3.29999999999996,0.010823219848467479,3.728748466304351e-05,1.8643742331521754e-05
3.3999999999999595,3.3999999999999595,0.007742261374575809,1.9080325746163713e-05,9.540162873081856e-06
3.499999999999959,3.499999999999959,0.0054832270873422,9.570234784260755e-06,4.7851173921303776e-06
3.599999999999959,3.599999999999959,0.00384469321672626,4.705150400020946e-06,2.352575200010473e-06
3.6999999999999584,3.6999999999999584,0.002668973154704665,2.2674542774966293e-06,1.1337271387483147e-06
3.799999999999958,3.799999999999958,0.0018343566346094436,1.0710695605589622e-06,5.355347802794811e-07
3.8999999999999577,3.8999999999999577,0.0012481891390461086,4.959192036091693e-07,2.4795960180458467e-07
3.9999999999999574,3.9999999999999574,0.0008408801081825974,2.25070349438595e-07,1.125351747192975e-07
4.099999999999957,4.099999999999957,0.000560847532869961,1.0012436041537618e-07,5.006218020768809e-08
4.199999999999957,4.199999999999957,0.00037035021775771245,4.365915590252554e-08,2.182957795126277e-08
4.299999999999956,4.299999999999956,0.0002421237824122912,1.8660575149016972e-08,9.330287574508486e-09
4.399999999999956,4.399999999999956,0.00015671816942753412,7.817876868532756e-09,3.908938434266378e-09
4.499999999999956,4.499999999999956,0.00010042880744866387,3.210456110372501e-09,1.6052280551862504e-09
4.599999999999955,4.599999999999955,6.371685279241631e-05,1.2922863546217542e-09,6.461431773108771e-10
4.699999999999955,4.699999999999955,4.002279201951314e-05,5.098763760786094e-10,2.549381880393047e-10
4.7999999999999545,4.7999999999999545,2.488957626820766e-05,1.971901115199165e-10,9.859505575995825e-11
4.899999999999954,4.899999999999954,1.532444233345189e-05,7.475142655891885e-11,3.7375713279459427e-11
4.999999999999954,4.999999999999954,9.341334215285054e-06,2.777588772994087e-11,1.3887943864970435e-11
